Word,Regex,Swearing,Sexual,Racism,Xenophobic,Sexism,Other
2girls1cup,,0,1,0,0,1,1
2g1c,,0,1,0,0,1,1
4r5e,,1,1,0,0,0,0
5h1t,,1,0,0,0,0,0
5hit,,1,0,0,0,0,0
a2m,,1,1,0,0,0,0
a54,,,,,,,
aeolus,,,,,,,
ahole,,1,1,0,0,0,0
alabamahotpocket,,,,,,,
alaskanpipeline,,,,,,,
anal,,1,0,0,0,0,0
analimpaler,,0,1,0,0,0,0
analleakage,,0,1,0,0,0,0
analannie,,0,1,0,0,1,0
analprobe,,0,1,0,0,0,0
analsex,,0,1,0,0,0,0
anilingus,,0,1,0,0,0,0
anus,,0,1,0,0,0,0
apeshit,,1,0,0,0,0,0
ar5e,,1,0,0,0,0,0
areola,,0,1,0,0,0,0
areole,,0,1,0,0,0,0
arian,,0,0,1,0,0,0
arrse,,1,1,0,0,0,0
arse,,1,1,0,0,0,0
arsehole,,1,1,0,0,0,0
aryan,,0,0,1,0,0,0
ass,,1,1,0,0,0,0
assfuck,,1,1,0,0,0,0
asshole,,1,1,0,0,0,0
assault,,0,0,0,0,0,0
assbag,,1,1,0,0,0,0
assbagger,,1,1,0,0,0,0
assbandit,,1,1,0,0,0,0
assbang,,1,1,0,0,0,0
assbanged,,1,1,0,0,0,0
assbanger,,1,1,0,0,0,0
assbangs,,1,1,0,0,0,0
assbite,,1,1,0,0,0,0
assblaster,,1,1,0,0,0,0
assclown,,1,1,0,0,0,0
asscock,,1,1,0,0,0,0
asscracker,,1,1,0,0,0,0
asses,,1,1,0,0,0,0
assface,,1,1,0,0,0,0
assfaces,,1,1,0,0,0,0
assfuck,,1,1,0,0,0,0
assfucker,,1,1,0,0,0,0
assfucker,,1,1,0,0,0,0
assfukka,,1,1,0,0,0,0
assgoblin,,1,1,0,0,0,0
assh0le,,1,1,0,0,0,0
asshat,,1,1,0,0,0,0
asshat,,1,1,0,0,0,0
asshead,,1,1,0,0,0,0
assho1e,,1,1,0,0,0,0
asshole,,1,1,0,0,0,0
assholes,,1,1,0,0,0,0
asshopper,,1,1,0,0,0,0
asshore,,1,1,0,0,0,0
assjabber,,1,1,0,0,0,0
assjacker,,1,1,0,0,0,0
assjockey,,1,1,0,0,0,0
asskiss,,1,1,0,0,0,0
asskisser,,1,1,0,0,0,0
assklown,,1,1,0,0,0,0
asslick,,1,1,0,0,0,0
asslicker,,1,1,0,0,0,0
asslover,,1,1,0,0,0,0
assman,,1,1,0,0,0,0
assmaster,,1,1,0,0,0,0
assmonkey,,1,1,0,0,0,0
assmucus,,1,1,0,0,0,0
assmunch,,1,1,0,0,0,0
assmuncher,,1,1,0,0,0,0
assnigger,,1,1,1,1,0,0
asspacker,,1,1,0,0,0,0
asspirate,,1,1,0,0,0,0
asspirate,,1,1,0,0,0,0
asspuppies,,1,1,0,0,0,0
assranger,,1,1,0,0,0,0
assshit,,1,1,0,0,0,0
assshole,,1,1,0,0,0,0
asssucker,,1,1,0,0,0,0
asswad,,1,1,0,0,0,0
asswhole,,1,1,0,0,0,0
asswhore,,1,1,0,0,0,0
asswipe,,1,1,0,0,0,0
asswipes,,1,1,0,0,0,0
autoerotic,,0,1,0,0,0,0
axwound,,,,,,,
azz,,1,1,0,0,0,0
b!tch,,1,0,0,0,0,0
b00bs,,0,1,0,0,0,0
b17ch,,1,0,0,0,0,0
b1tch,,1,0,0,0,0,0
babe,,,,,,,
babybatter,,,,,,,
babyjuice,,,,,,,
badfuck,,1,1,0,0,0,0
ballgag,,0,1,0,0,0,0
ballgravy,,0,1,0,0,0,0
ballkicking,,0,1,0,0,0,0
balllicking,,0,1,0,0,0,0
ballsack,,0,1,0,0,0,0
ballsucking,,0,1,0,0,0,0
ballbag,,0,1,0,0,0,0
balllicker,,0,1,0,0,0,0
ballsack,,0,1,0,0,0,0
bampot,,,,,,,
bangbros,,,,,,,
bareback,,0,1,0,0,0,0
barelylegal,,0,1,0,0,0,0
barface,,,,,,,
barfface,,,,,,,
bastard,,1,0,0,0,0,0
bastardo,,1,0,0,0,0,0
bastards,,1,0,0,0,0,0
bastinado,,1,0,0,0,0,0
battyboy,,,,,,,
bawdy,,,,,,,
bazongas,,0,1,0,0,0,0
bazooms,,0,1,0,0,0,0
bbw,,0,1,1,0,1,0
bdsm,,0,1,0,0,0,0
beaner,,1,0,1,1,0,0
beaners,,1,0,1,1,0,0
beardedclam,,,,,,,
beastial,,0,1,0,0,0,0
beastiality,,1,0,0,0,0,0
beatch,,,,,,,
beater,,,,,,,
beatyourmeat,,0,1,0,0,0,0
beaver,,,,,,,
beavercleaver,,,,,,,
